Date,Open,High,Low,Close,High_Last_7_Days,Days_Since_High_Last_7_Days,%_Diff_From_High_Last_7_Days,Low_Last_7_Days,Days_Since_Low_Last_7_Days,%_Diff_From_Low_Last_7_Days,High_Next_5_Days,%_Diff_From_High_Next_5_Days,Low_Next_5_Days,%_Diff_From_Low_Next_5_Days
06-12-2023,41974.33177,44105.94477,41974.33177,44105.94477,44105.94477,-326,0,37711.81838,-326,16.95523226,44202.17611,-0.217707238,43270.11956,1.931645259
07-12-2023,44105.94477,44105.94477,43788.28881,43788.28881,44105.94477,-325,-0.720211223,37711.81838,-325,16.11290756,44202.17611,-0.936350509,41200.96273,6.279770935
08-12-2023,43788.28881,43788.28881,43270.11956,43270.11956,44105.94477,-324,-1.895039812,37711.81838,-324,14.73888405,44202.17611,-2.108621411,41200.96273,5.022107972
09-12-2023,43270.11956,44202.17611,43270.11956,44202.17611,44202.17611,-323,0,38688.25874,-323,14.25217249,44202.17611,0,41200.96273,7.284328289
10-12-2023,44202.17611,44202.17611,43745.49199,43745.49199,44202.17611,-322,-1.033171119,39481.66642,-322,10.79950763,43757.95994,-0.028492978,41200.96273,6.175897594
11-12-2023,43745.49199,43757.95994,43745.49199,43757.95994,44202.17611,-321,-1.004964486,39960.27542,-321,9.503649505,43757.95994,0,41200.96273,6.206158891
12-12-2023,43757.95994,43757.95994,41200.96273,41200.96273,44202.17611,-320,-6.789741247,41200.96273,-320,0,43009.59546,-4.205184241,41200.96273,0
13-12-2023,41200.96273,41450.81939,41200.96273,41450.81939,44202.17611,-319,-6.224482512,41200.96273,-319,0.606434036,43009.59546,-3.624251873,41410.81963,0.096592517
14-12-2023,41450.81939,42931.76183,41450.81939,42931.76183,44202.17611,-318,-2.874098959,41200.96273,-318,4.200870527,43009.59546,-0.18096806,41410.81963,3.672813542
15-12-2023,42931.76183,43009.59546,42931.76183,43009.59546,44202.17611,-317,-2.698013442,41200.96273,-317,4.389782691,43009.59546,0,41410.81963,3.860768359
16-12-2023,43009.59546,43009.59546,41992.01419,41992.01419,44202.17611,-316,-5.000120168,41200.96273,-316,1.919982954,43634.12417,-3.763361847,41410.81963,1.403484784
17-12-2023,41992.01419,42247.06788,41992.01419,42247.06788,43757.95994,-315,-3.452839342,41200.96273,-315,2.539030854,43849.6996,-3.654829411,41410.81963,2.019395546
18-12-2023,42247.06788,42247.06788,41410.81963,41410.81963,43757.95994,-314,-5.363916203,41200.96273,-314,0.509349526,44003.69602,-5.892405915,41410.81963,0
19-12-2023,41410.81963,42684.18255,41410.81963,42684.18255,43009.59546,-313,-0.756605353,41200.96273,-313,3.599964007,44003.69602,-2.998642356,42250.20618,1.027157998
20-12-2023,42684.18255,42684.18255,42250.20618,42250.20618,43009.59546,-312,-1.765627566,41410.81963,-312,2.026974003,44003.69602,-3.984869448,42250.20618,0
21-12-2023,42250.20618,43634.12417,42250.20618,43634.12417,43634.12417,-311,0,41410.81963,-311,5.368897678,44003.69602,-0.839865481,43034.97106,1.392247027
22-12-2023,43634.12417,43849.6996,43634.12417,43849.6996,43849.6996,-310,0,41410.81963,-310,5.88947523,44003.69602,-0.349962472,42516.42694,3.135900063
